,date,temp,max,min
0,1933-01-01,13.67,18.89,2.78
1,1933-01-02,13.89,19.61,1.89
2,1933-01-03,10.83,16.28,0.78
3,1933-01-04,14.94,21.28,1.28
4,1933-01-05,18.11,23.5,6.89
5,1933-01-06,15.28,23.0,3.0
6,1933-01-07,19.44,25.22,4.61
7,1933-01-08,14.44,23.5,5537.72
8,1933-01-09,18.56,27.39,5.22
9,1933-01-10,16.56,25.22,3.0
10,1933-01-11,13.44,16.28,8.0
11,1933-01-12,17.22,22.39,4.61
12,1933-01-13,19.33,23.5,11.89
13,1933-01-14,18.89,23.0,11.89
14,1933-01-15,10.39,12.39,8.0
15,1933-01-16,7.72,8.5,5.78
16,1933-01-17,6.0,7.39,3.5
17,1933-01-18,5.89,8.0,1.89
18,1933-01-19,8.17,9.61,5.78
19,1933-01-20,3.89,5.78,0.78
20,1933-01-21,6.06,8.5,1.89
21,1933-01-22,6.39,8.0,4.61
22,1933-01-23,5.5,6.89,3.0
23,1933-01-24,7.72,12.39,2.39
24,1933-01-25,5.78,7.39,0.78
25,1933-01-26,10.06,14.61,1.28
26,1933-01-27,10.06,15.72,3.5
27,1933-01-28,6.44,9.11,1.89
28,1933-01-29,5.5,6.89,3.0
29,1933-01-30,10.0,13.0,4.61
30,1933-01-31,9.33,13.0,1.89
31,1933-02-01,10.22,16.89,0.22
32,1933-02-02,13.33,18.0,5.78
33,1933-02-03,9.89,11.28,5.78
34,1933-02-04,12.11,14.61,6.89
35,1933-02-05,14.89,18.0,8.0
36,1933-02-06,12.06,15.72,5.22
37,1933-02-07,8.72,11.28,4.61
38,1933-02-08,9.39,13.5,1.89
39,1933-02-09,8.83,13.5,0.78
40,1933-02-10,7.72,12.39,3.0
41,1933-02-11,12.11,17.39,2.39
42,1933-02-12,10.89,15.22,5.22
43,1933-02-13,11.56,15.22,6.28
44,1933-02-14,13.33,18.5,3.5
45,1933-02-15,16.11,21.28,3.0
46,1933-02-16,13.72,18.5,4.11
47,1933-02-17,15.0,18.0,8.5
48,1933-02-18,11.44,14.11,5.22
49,1933-02-19,14.39,18.0,7.39
50,1933-02-20,17.44,22.39,9.11
51,1933-02-21,16.39,21.78,5.78
52,1933-02-22,19.67,26.78,6.28
53,1933-02-23,15.67,20.72,4.61
54,1933-02-24,10.94,13.5,6.89
55,1933-02-25,13.78,16.28,10.22
56,1933-02-26,13.56,18.0,3.0
57,1933-02-27,16.33,22.39,4.61
58,1933-02-28,18.22,23.0,6.89
59,1933-03-01,16.33,21.28,4.11
60,1933-03-02,16.67,21.78,6.28
61,1933-03-03,17.72,23.5,6.28
62,1933-03-04,21.11,24.61,15.22
63,1933-03-05,18.83,22.39,10.72
64,1933-03-06,22.83,27.39,13.0
65,1933-03-07,20.33,26.28,8.0
66,1933-03-08,18.78,23.0,6.89
67,1933-03-09,18.67,26.78,9.11
68,1933-03-10,18.67,22.39,10.0
69,1933-03-11,17.67,21.78,8.0
70,1933-03-12,14.33,18.0,7.39
71,1933-03-13,13.39,17.39,7.39
72,1933-03-14,17.28,21.78,5.78
73,1933-03-15,13.78,16.89,8.5
74,1933-03-16,12.44,14.11,8.0
75,1933-03-17,14.11,16.89,9.11
76,1933-03-18,14.56,19.61,5.22
77,1933-03-19,20.72,23.5,16.28
78,1933-03-20,21.44,25.22,13.5
79,1933-03-21,15.39,18.0,10.22
80,1933-03-22,15.56,19.61,4.61
81,1933-03-23,11.83,13.5,8.0
82,1933-03-24,15.17,21.78,3.5
83,1933-03-25,17.28,20.72,8.5
84,1933-03-26,16.11,19.61,9.61
85,1933-03-27,17.72,21.28,7.39
86,1933-03-28,12.67,15.72,8.0
87,1933-03-29,13.83,16.28,8.0
88,1933-03-30,19.0,24.11,8.5
89,1933-03-31,21.33,24.61,11.89
90,1933-04-01,24.61,31.78,14.61
91,1933-04-02,23.33,28.0,14.61
92,1933-04-03,21.11,23.5,11.89
93,1933-04-04,13.72,15.22,10.72
94,1933-04-05,21.94,26.78,12.39
95,1933-04-06,17.39,20.22,10.22
96,1933-04-07,12.33,13.5,10.22
97,1933-04-08,14.22,15.72,10.22
98,1933-04-09,15.5,19.61,10.22
99,1933-04-10,20.33,25.22,14.61
100,1933-04-11,22.89,26.78,14.11
101,1933-04-12,21.67,26.78,11.28
102,1933-04-13,23.67,26.28,12.39
103,1933-04-14,24.61,27.39,20.22
104,1933-04-15,23.78,28.0,14.61
105,1933-04-16,17.72,24.11,8.0
106,1933-04-17,11.89,13.0,9.11
107,1933-04-18,7.11,11.89,4.61
108,1933-04-19,12.0,15.22,5.78
109,1933-04-20,11.78,14.11,9.11
110,1933-04-21,18.22,24.11,9.11
111,1933-04-22,21.72,26.78,12.39
112,1933-04-23,21.0,23.5,14.11
113,1933-04-24,13.5,15.72,10.22
114,1933-04-25,12.0,14.11,10.22
115,1933-04-26,15.78,18.5,11.89
116,1933-04-27,16.44,18.0,13.5
117,1933-04-28,11.06,12.39,9.61
118,1933-04-29,12.22,13.5,9.61
119,1933-04-30,14.56,18.5,8.5
120,1933-05-01,15.56,18.5,9.61
121,1933-05-02,12.11,14.61,6.28
122,1933-05-03,17.17,20.22,13.0
123,1933-05-04,19.06,22.39,11.28
124,1933-05-05,15.22,18.5,11.89
125,1933-05-06,15.0,18.5,8.5
126,1933-05-07,16.61,20.22,7.39
127,1933-05-08,15.22,19.11,9.11
128,1933-05-09,13.5,15.72,9.61
129,1933-05-10,8.33,12.39,5.78
130,1933-05-11,10.11,11.89,7.39
131,1933-05-12,13.17,15.72,9.11
132,1933-05-13,16.61,20.22,10.22
133,1933-05-14,22.5,26.78,14.11
134,1933-05-15,21.5,24.61,13.0
135,1933-05-16,16.0,20.22,8.0
136,1933-05-17,18.06,21.28,10.72
137,1933-05-18,20.0,23.5,13.0
138,1933-05-19,21.72,24.61,13.0
139,1933-05-20,20.83,23.5,11.89
140,1933-05-21,15.11,18.0,11.28
141,1933-05-22,17.28,21.28,10.22
142,1933-05-23,24.94,28.5,15.72
143,1933-05-24,29.06,32.89,19.61
144,1933-05-25,29.0,32.39,21.78
145,1933-05-26,28.5,30.72,20.72
146,1933-05-27,27.39,30.72,18.0
147,1933-05-28,23.33,28.0,16.89
148,1933-05-29,19.94,24.61,12.39
149,1933-05-30,17.72,19.61,12.39
150,1933-05-31,16.89,20.72,11.28
151,1933-06-01,15.39,21.28,10.72
152,1933-06-02,18.39,21.78,12.39
153,1933-06-03,16.83,22.39,11.28
154,1933-06-04,16.06,19.11,12.39
155,1933-06-05,14.61,16.28,11.89
156,1933-06-06,15.56,18.0,13.0
157,1933-06-07,23.0,27.39,14.61
158,1933-06-08,26.11,28.89,18.89
159,1933-06-09,26.39,30.0,18.89
160,1933-06-10,25.44,30.0,13.89
161,1933-06-11,29.39,34.39,20.61
162,1933-06-12,30.72,33.89,22.22
163,1933-06-13,33.83,38.28,23.89
164,1933-06-14,33.17,38.89,5537.72
165,1933-06-15,35.5,38.28,25.61
166,1933-06-16,29.06,31.11,23.28
167,1933-06-17,27.78,31.11,21.72
168,1933-06-18,30.11,34.39,23.28
169,1933-06-19,28.28,32.22,17.78
170,1933-06-20,29.33,32.78,19.39
171,1933-06-21,28.83,32.22,18.89
172,1933-06-22,25.61,29.39,18.89
173,1933-06-23,23.22,27.22,11.11
174,1933-06-24,23.89,28.89,12.22
175,1933-06-25,25.61,30.0,13.89
176,1933-06-26,27.56,30.61,17.78
177,1933-06-27,23.67,26.72,15.61
178,1933-06-28,23.44,27.22,13.89
179,1933-06-29,25.78,28.28,17.78
180,1933-06-30,24.78,28.28,15.61
181,1933-07-01,21.94,29.11,12.39
182,1933-07-02,22.33,27.39,14.11
183,1933-07-03,25.72,29.61,16.89
184,1933-07-04,29.17,32.89,23.0
185,1933-07-05,30.17,32.39,22.39
186,1933-07-06,26.94,32.39,16.89
187,1933-07-07,28.11,32.39,18.0
188,1933-07-08,26.94,30.22,18.0
189,1933-07-09,24.22,29.61,13.0
190,1933-07-10,30.67,35.72,20.72
191,1933-07-11,32.0,35.72,24.11
192,1933-07-12,31.56,34.11,24.11
193,1933-07-13,32.72,35.72,25.72
194,1933-07-14,29.89,32.89,22.39
195,1933-07-15,27.56,32.39,17.39
196,1933-07-16,28.39,32.89,18.5
197,1933-07-17,27.61,31.28,20.72
198,1933-07-18,28.28,31.78,21.28
199,1933-07-19,30.28,33.5,23.5
200,1933-07-20,30.28,34.11,20.22
201,1933-07-21,30.78,34.61,21.78
202,1933-07-22,28.5,31.78,20.22
203,1933-07-23,30.44,35.22,20.72
204,1933-07-24,35.83,37.89,26.78
205,1933-07-25,36.67,40.72,28.0
206,1933-07-26,39.61,42.39,31.28
207,1933-07-27,34.56,39.11,26.28
208,1933-07-28,30.83,35.22,24.61
209,1933-07-29,32.83,37.89,24.61
210,1933-07-30,31.11,33.5,24.11
211,1933-07-31,24.28,30.22,15.72
212,1933-08-01,24.44,29.11,15.72
213,1933-08-02,23.33,28.0,13.5
214,1933-08-03,25.0,30.22,15.72
215,1933-08-04,24.39,29.61,13.0
216,1933-08-05,26.39,29.61,15.72
217,1933-08-06,23.61,28.5,18.0
218,1933-08-07,23.44,27.39,15.72
219,1933-08-08,27.56,31.28,19.61
220,1933-08-09,30.78,33.5,21.78
221,1933-08-10,33.06,35.22,28.0
222,1933-08-11,36.28,40.72,26.78
223,1933-08-12,37.94,43.5,26.78
224,1933-08-13,39.72,42.39,34.11
225,1933-08-14,32.5,35.72,27.39
226,1933-08-15,31.5,35.22,21.78
227,1933-08-16,31.78,34.61,25.22
228,1933-08-17,32.94,35.72,24.61
229,1933-08-18,31.39,34.61,23.5
230,1933-08-19,29.11,32.89,20.72
231,1933-08-20,25.67,30.22,17.39
232,1933-08-21,25.44,29.61,19.61
233,1933-08-22,28.56,31.28,23.0
234,1933-08-23,30.44,33.5,23.0
235,1933-08-24,27.33,30.22,22.39
236,1933-08-25,28.39,31.78,20.72
237,1933-08-26,24.44,29.11,15.22
238,1933-08-27,22.5,28.5,13.5
239,1933-08-28,26.56,31.28,17.39
240,1933-08-29,25.67,30.22,15.72
241,1933-08-30,26.61,31.28,18.0
242,1933-08-31,25.5,29.61,15.22
243,1933-09-01,20.94,26.78,13.5
244,1933-09-02,19.78,24.61,13.5
245,1933-09-03,23.44,29.61,13.0
246,1933-09-04,28.33,31.78,20.22
247,1933-09-05,30.39,33.5,20.72
248,1933-09-06,30.0,34.11,20.22
249,1933-09-07,25.67,29.61,16.28
250,1933-09-08,20.11,25.22,14.61
251,1933-09-09,20.67,25.22,12.39
252,1933-09-10,22.89,26.28,14.11
253,1933-09-11,18.33,25.22,10.22
254,1933-09-12,18.94,23.5,11.28
255,1933-09-13,21.0,27.39,10.72
256,1933-09-14,24.67,27.39,16.89
257,1933-09-15,21.61,28.5,10.72
258,1933-09-16,28.0,31.78,21.28
259,1933-09-17,21.22,25.72,13.5
260,1933-09-18,25.11,30.22,13.0
261,1933-09-19,28.61,34.11,17.39
262,1933-09-20,28.89,32.89,19.11
263,1933-09-21,27.67,31.78,16.89
264,1933-09-22,27.72,31.78,15.22
265,1933-09-23,25.11,29.11,16.28
266,1933-09-24,16.22,20.72,10.22
267,1933-09-25,16.22,19.61,13.0
268,1933-09-26,22.11,26.78,10.72
269,1933-09-27,21.39,25.72,14.61
270,1933-09-28,22.11,27.39,13.5
271,1933-09-29,24.44,29.11,18.0
272,1933-09-30,24.5,28.0,17.39
273,1933-10-01,26.06,29.61,19.11
274,1933-10-06,27.83,31.28,21.28
275,1933-10-07,26.17,29.11,19.11
276,1933-10-08,23.33,25.72,18.0
277,1933-10-09,18.56,24.11,12.39
278,1933-10-10,18.11,20.22,14.11
279,1933-10-11,19.44,21.78,15.22
280,1933-10-12,25.56,29.61,14.61
281,1933-10-13,26.94,31.78,19.61
282,1933-10-14,23.61,27.39,14.61
283,1933-10-15,24.0,29.11,11.89
284,1933-10-16,29.22,35.72,14.11
285,1933-10-17,30.39,35.72,16.28
286,1933-10-18,29.06,34.61,15.22
287,1933-10-19,27.22,31.78,15.22
288,1933-10-20,23.94,28.0,12.39
289,1933-10-21,19.44,23.5,9.61
290,1933-10-22,26.44,31.78,10.72
291,1933-10-23,28.83,34.11,16.28
